総合判定,台数判定,容量判定,名称判定,機器ID照合,判定理由,機器ID,機器表 記載名,盤表 記載名,機器表 台数,盤表 台数,台数差,機器表 消費電力(kW),機器表 モード容量(kW),機器表 判定モード,機器表 判定採用容量(kW),容量判定補足,盤表 容量(kW),容量差(kW),機器表 図面番号,盤表 図面番号,盤表 記載トレース
✗,✗,◯,◯,◯,台数差分=1,EF-B2-2,排風機,排風機,1,2,1,0.54,,単一値,0.54,単一数値を採用,0.54,0,M-03-01,"E-024,E-032",図面:E-024 名称:排風機 容量:0.54 || 図面:E-032 名称:排風機 容量:0.54
✗,✗,✗,◯,◯,台数差分=1,EF-B2-3,排風機,排風機,1,2,1,0.91,,単一値,0.91,単一数値を採用,0.54,-0.37,M-03-01,"E-024,E-032",図面:E-024 名称:排風機 容量:0.54 || 図面:E-032 名称:排風機 容量:0.54
✗,✗,◯,◯,◯,台数差分=1,EF-B2-4,排風機,排風機,1,2,1,0.54,,単一値,0.54,単一数値を採用,0.54,0,M-03-01,"E-024,E-032",図面:E-024 名称:排風機 容量:0.54 || 図面:E-032 名称:排風機 容量:0.54
✗,✗,✗,✗,✗,盤表に記載なし,EF-B2-5,排風機,,1,0,-1,0.116,,単一値,0.116,単一数値を採用,,,M-03-01,,
✗,✗,◯,◯,◯,台数差分=3,EF-B2-6,排風機,排風機,3,6,3,2.2,,単一値,2.2,単一数値を採用,2.2,0,M-03-01,"E-024,E-032",図面:E-024 名称:排風機 容量:2.2 x3 || 図面:E-032 名称:排風機 容量:2.2 x3
✗,✗,✗,✗,✗,盤表に記載なし,EF-B2-7,排風機,,1,0,-1,0.202,,単一値,0.202,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,EF-B1-1,排風機,,1,0,-1,0.145,,単一値,0.145,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,EF-B1-2,排風機,,1,0,-1,0.145,,単一値,0.145,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,EF-1-1,排風機,,1,0,-1,0.0832,,単一値,0.0832,単一数値を採用,,,M-03-01,,
✗,✗,◯,◯,◯,台数差分=1,EF-1-2,排風機,排風機,1,2,1,0.54,,単一値,0.54,単一数値を採用,0.54,0,M-03-01,"E-024,E-034",図面:E-024 名称:排風機 容量:0.54 || 図面:E-034 名称:排風機 容量:0.54
